transactID,account,currency,transactType,amount,fee,transactStatus,address,tx,text,timestamp,walletBalance,marginBalance
a249eb55-417b-e983-895e-085baa22b120,1501242,XBt,RealisedPNL,-33590,0,Completed,ETHZ21,de8a9b6a-2723-e401-54cc-a742e7db9047,"",2021-11-29T12:00:00.009Z,5942106512,
76596492-546b-8a71-d29a-2e841aebea56,1501242,XBt,RealisedPNL,-5099436,0,Completed,ETHUSD,de8a9b6a-2723-e401-54cc-a742e7db9047,"",2021-11-29T12:00:00.009Z,5942106512,
c7441e46-8513-e3bc-748a-a8509c0175ff,1501242,XBt,RealisedPNL,-64949805,0,Completed,ETHUSD,e479a272-3eaa-a186-da48-b308e28e5d8d,"",2021-11-28T12:00:00.023Z,5947706950,
41b3df56-38d9-d052-bb62-51281938f047,1501242,XBt,RealisedPNL,-4038600,0,Completed,TRXZ21,e479a272-3eaa-a186-da48-b308e28e5d8d,"",2021-11-28T12:00:00.023Z,5947706950,
2f213ef2-783d-7a65-9d0e-b0c7f28f6e20,1501242,XBt,RealisedPNL,-315611,0,Completed,LTCUSD,e479a272-3eaa-a186-da48-b308e28e5d8d,"",2021-11-28T12:00:00.023Z,5947706950,
15b189f3-3e58-5f07-03b8-58ff2c6b403f,1501242,XBt,RealisedPNL,19731171,0,Completed,ETHZ21,e479a272-3eaa-a186-da48-b308e28e5d8d,"",2021-11-28T12:00:00.023Z,5947706950,
f854daa0-8a8d-cdc9-760e-d16fc0ef8fde,1501242,XBt,RealisedPNL,-143918372,0,Completed,XBTUSD,e879bd2f-fab2-be67-9b6b-dc879833c1b3,"",2021-11-27T12:00:00.004Z,5997279795,
be38503c-d4af-9826-d5f9-5e76da805382,1501242,XBt,RealisedPNL,24779062,0,Completed,ETHZ21,e879bd2f-fab2-be67-9b6b-dc879833c1b3,"",2021-11-27T12:00:00.004Z,5997279795,
aec99f02-56a6-a80d-44b6-631befba4ff3,1501242,XBt,RealisedPNL,1918291,0,Completed,LUNAUSD,e879bd2f-fab2-be67-9b6b-dc879833c1b3,"",2021-11-27T12:00:00.004Z,5997279795,
2fd3b701-88e9-58c6-8064-0fdb24a809b9,1501242,XBt,RealisedPNL,-804280,0,Completed,LTCUSD,e879bd2f-fab2-be67-9b6b-dc879833c1b3,"",2021-11-27T12:00:00.004Z,5997279795,
133bdbce-f1e8-9554-89c1-cdf5ca30cb50,1501242,XBt,RealisedPNL,-4235763,0,Completed,TRXZ21,e879bd2f-fab2-be67-9b6b-dc879833c1b3,"",2021-11-27T12:00:00.004Z,5997279795,
10d1b2ce-04bf-61e7-ab02-61ebe7cb4e9d,1501242,XBt,RealisedPNL,5888710,0,Completed,DOGEUSD,e879bd2f-fab2-be67-9b6b-dc879833c1b3,"",2021-11-27T12:00:00.004Z,5997279795,
07d563a3-4c9f-19cc-42ca-6b22606c05c1,1501242,XBt,RealisedPNL,-103611374,0,Completed,ETHUSD,e879bd2f-fab2-be67-9b6b-dc879833c1b3,"",2021-11-27T12:00:00.004Z,5997279795,
aa9de7c8-37c4-0dcb-7d86-a909f46adc78,1501242,XBt,RealisedPNL,14226781,0,Completed,ETHZ21,3e48588a-65ab-4d61-6741-9f8643c91ade,"",2021-11-26T12:00:00.008Z,6217263521,
a14d23d4-5679-3c37-3284-47dff31c47a3,1501242,XBt,RealisedPNL,2719263,0,Completed,LUNAUSD,3e48588a-65ab-4d61-6741-9f8643c91ade,"",2021-11-26T12:00:00.008Z,6217263521,
8d579272-9a27-de31-2c94-af94a060e887,1501242,XBt,RealisedPNL,-73031,0,Completed,DOGEUSD,3e48588a-65ab-4d61-6741-9f8643c91ade,"",2021-11-26T12:00:00.008Z,6217263521,
88ad900c-eb8f-7037-196b-06c45775bbe5,1501242,XBt,RealisedPNL,5207849,0,Completed,ETHUSD,3e48588a-65ab-4d61-6741-9f8643c91ade,"",2021-11-26T12:00:00.008Z,6217263521,
86fb552b-f047-759c-1560-6e1452d86099,1501242,XBt,RealisedPNL,-1122241,0,Completed,LTCUSD,3e48588a-65ab-4d61-6741-9f8643c91ade,"",2021-11-26T12:00:00.008Z,6217263521,
720dacb1-af6c-23ea-61d4-941c2902c87c,1501242,XBt,RealisedPNL,-6491094,0,Completed,XRPUSD,3e48588a-65ab-4d61-6741-9f8643c91ade,"",2021-11-26T12:00:00.008Z,6217263521,
